,digits,filepath,index
0,0,http://matview.com/lab/screen-handwriting-digits/0/201612271158277242.png,1
1,0,http://matview.com/lab/screen-handwriting-digits/0/201612271158293643.png,2
2,0,http://matview.com/lab/screen-handwriting-digits/0/201612271158305205.png,3
3,0,http://matview.com/lab/screen-handwriting-digits/0/201612271158321136.png,4
4,0,http://matview.com/lab/screen-handwriting-digits/0/201612271158328518.png,5
5,0,http://matview.com/lab/screen-handwriting-digits/0/201612271200004974.png,6
6,0,http://matview.com/lab/screen-handwriting-digits/0/201612271200025981.png,7
7,0,http://matview.com/lab/screen-handwriting-digits/0/201612271200046196.png,8
8,0,http://matview.com/lab/screen-handwriting-digits/0/201612271200067187.png,9
9,0,http://matview.com/lab/screen-handwriting-digits/0/201612271203026125.png,10
10,0,http://matview.com/lab/screen-handwriting-digits/0/201612271301241406.png,11
11,0,http://matview.com/lab/screen-handwriting-digits/0/201612271301456059.png,12
12,0,http://matview.com/lab/screen-handwriting-digits/0/201612271302067860.png,13
13,0,http://matview.com/lab/screen-handwriting-digits/0/201612271302073231.png,14
14,0,http://matview.com/lab/screen-handwriting-digits/0/201612271302084894.png,15
15,0,http://matview.com/lab/screen-handwriting-digits/0/201612271302299667.png,16
16,0,http://matview.com/lab/screen-handwriting-digits/0/201612271302301342.png,17
17,0,http://matview.com/lab/screen-handwriting-digits/0/201612271302358224.png,18
18,0,http://matview.com/lab/screen-handwriting-digits/0/201612271303009399.png,19
19,0,http://matview.com/lab/screen-handwriting-digits/0/201612271304362189.png,20
20,0,http://matview.com/lab/screen-handwriting-digits/0/201612271305199248.png,21
21,0,http://matview.com/lab/screen-handwriting-digits/0/201612271305206745.png,22
22,0,http://matview.com/lab/screen-handwriting-digits/0/201612271307552148.png,23
23,0,http://matview.com/lab/screen-handwriting-digits/0/201612271307573760.png,24
24,0,http://matview.com/lab/screen-handwriting-digits/0/201612271307578265.png,25
25,0,http://matview.com/lab/screen-handwriting-digits/0/201612271307583262.png,26
26,0,http://matview.com/lab/screen-handwriting-digits/0/201612271308002784.png,27
27,0,http://matview.com/lab/screen-handwriting-digits/0/201612271311271974.png,28
28,0,http://matview.com/lab/screen-handwriting-digits/0/201612271311272505.png,29
29,0,http://matview.com/lab/screen-handwriting-digits/0/201612271311292853.png,30
30,0,http://matview.com/lab/screen-handwriting-digits/0/201612271311308686.png,31
31,0,http://matview.com/lab/screen-handwriting-digits/0/201612271311324947.png,32
32,0,http://matview.com/lab/screen-handwriting-digits/0/201612271321186221.png,33
33,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327065970.png,34
34,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327078394.png,35
35,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327089204.png,36
36,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327107912.png,37
37,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327228797.png,38
38,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327234215.png,39
39,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327246935.png,40
40,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327255203.png,41
41,0,http://matview.com/lab/screen-handwriting-digits/0/201612271327272432.png,42
42,0,http://matview.com/lab/screen-handwriting-digits/0/201612271331256158.png,43
43,0,http://matview.com/lab/screen-handwriting-digits/0/201612271331277726.png,44
44,0,http://matview.com/lab/screen-handwriting-digits/0/201612271331286938.png,45
45,0,http://matview.com/lab/screen-handwriting-digits/0/201612271331316346.png,46
46,0,http://matview.com/lab/screen-handwriting-digits/0/201612271331333002.png,47
47,0,http://matview.com/lab/screen-handwriting-digits/0/201612271333302084.png,48
48,0,http://matview.com/lab/screen-handwriting-digits/0/201612271347523078.png,49
49,0,http://matview.com/lab/screen-handwriting-digits/0/201612271400068689.png,50
50,0,http://matview.com/lab/screen-handwriting-digits/0/201612271400072877.png,51
51,0,http://matview.com/lab/screen-handwriting-digits/0/201612271400094746.png,52
52,0,http://matview.com/lab/screen-handwriting-digits/0/201612271400096090.png,53
53,0,http://matview.com/lab/screen-handwriting-digits/0/201612271401191697.png,54
54,0,http://matview.com/lab/screen-handwriting-digits/0/201612271401218645.png,55
55,0,http://matview.com/lab/screen-handwriting-digits/0/201612271401229285.png,56
56,0,http://matview.com/lab/screen-handwriting-digits/0/201612271401231230.png,57
57,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402215567.png,58
58,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402231413.png,59
59,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402232925.png,60
60,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402265431.png,61
61,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402357312.png,62
62,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402426751.png,63
63,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402429613.png,64
64,0,http://matview.com/lab/screen-handwriting-digits/0/201612271402436429.png,65
65,0,http://matview.com/lab/screen-handwriting-digits/0/201612271407108553.png,66
66,0,http://matview.com/lab/screen-handwriting-digits/0/201612271407113505.png,67
67,0,http://matview.com/lab/screen-handwriting-digits/0/201612271407144951.png,68
68,0,http://matview.com/lab/screen-handwriting-digits/0/201612271407173808.png,69
69,0,http://matview.com/lab/screen-handwriting-digits/0/201612271408341278.png,70
70,0,http://matview.com/lab/screen-handwriting-digits/0/201612271408371689.png,71
71,0,http://matview.com/lab/screen-handwriting-digits/0/201612271408382686.png,72
72,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410105344.png,73
73,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410155275.png,74
74,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410169743.png,75
75,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410277536.png,76
76,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410287182.png,77
77,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410309084.png,78
78,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410318327.png,79
79,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410571226.png,80
80,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410587177.png,81
81,0,http://matview.com/lab/screen-handwriting-digits/0/201612271410596670.png,82
82,0,http://matview.com/lab/screen-handwriting-digits/0/201612271425283652.png,83
83,0,http://matview.com/lab/screen-handwriting-digits/0/201612271425295137.png,84
84,0,http://matview.com/lab/screen-handwriting-digits/0/201612271425301997.png,85
